Field,latitude,longitude,collection_date,coordinates,,recal(https://www.latlong.net/degrees-minutes-seconds-to-decimal-degrees)
f8,N45-46’65.58’’,W119-45’49.84’’,3/6/2018,"45.78488,-119.76384",error,recal no difference
f8,N45-46’24.14’’,W119-45’50.00’’,3/6/2018,"45.77337,-119.76389",,
f8,N45-46’24.54’’,W119-45’33.44’’,3/6/2018,"45.77348,-119.75929",,
f8,N45-46’14.42’’,W119-45’34.97’’,3/6/2018,"45.77067,-119.75971",,
f2,N 45-45’8.76’’,W119-57’13.35’’,2/27/2018,"45.75243,-119.95371",,
f2,N 45-45’211,W119-56’968’’,2/27/2018,"45.80861,-120.20222",error,recal no difference
f1,N45-44’36.45’’,W119-56’57.89’’,3/1/2018,"45.74346,-119.94941",,
f1,N45-44’48.34’’,W119-56’52.90’’,3/1/2018,"45.74676,-119.94803",,
f1,N45-44’47.49’’,W119-56’42.13’’,3/1/2018,"45.74653,-119.94504",,
f1,N45-44’36.33’’,W119-56’40.49’’,3/1/2018,"45.74343,-119.94458",,
f5,N45-45’37.86’’,W119-53’15.84’’,2/27/2018,"45.76052,-119.88773",,
f5,N45-45’46.50’’,W119-53’14.83’’,2/27/2018,"45.76292,-119.88745",,
f5,N45-45’48.17’’,W119-53’3.45’’,2/27/2018,"45.76338,-119.88429",,
f5,N45-45’37.73’’,W119-53’3.79’’,2/27/2018,"45.76048,-119.88439",,
f3,N45-45’34.76’’,W119-59’31.32’’,2/27/2018,"45.75966,-119.99203",,
f3,N45-45’42.44’’,W119-59’32.64’’,2/27/2018,"45.76179,-119.9924",,
f3,N45-45’44.56’’,W119-59’20.13’’,2/27/2018,"45.76238,-119.98893",,
f3,N45-45’34.77’’,W119-59’18.01’’,2/27/2018,"45.75966,-119.98834",,
f4,N45-46’30.59’’,W119-53’31.17’’,3/1/2018,"45.77516,-119.89199",,
f4,N45-46’39.73’’,W119-53’33.48’’,3/1/2018,"45.7777,-119.89263",,
f4,N45-46’42.69’’,W119-53’16.12’’,3/1/2018,"45.77853,-119.88781",,
f4,N45-46’30.70’’,W119-53’15.02’’,3/1/2018,"45.77519,-119.88751",,
f6,N45-45’9.95’’,W119-55’4.57’’,3/8/2018,"45.75276,-119.91794",error,recal no difference
f6,N45-43’17.76’’,W119-55’3.42’’,3/8/2018,"45.7216,-119.91762",,
f6,N45-43’17.74’’,W119-54’52.42’’,3/8/2018,"45.72159,-119.91456",,
f6,N45-43’8.86’’,W119-54’48.99’’,3/8/2018,"45.71913,-119.91361",,
f7,N45-47’13.63’’,W119-49’36.52’’,3/6/2018,"45.78712,-119.82681",,
f7,N45-47’24.45’’,W119-49’35.01’’,3/6/2018,"45.79013,-119.82639",,
f7,N45-47’21.92’’,W119-49’24.12’’,3/6/2018,"45.78942,-119.82337",,
f7,N45-47’14.04’’,W119-49’25.62’’,3/6/2018,"45.78723,-119.82378",,
f10,N45-43’35.26’’,W119-51’0.26’’,3/8/2018,"45.72646,-119.85007",,
f10,N45-43’43.93’’,W119-50’58.06’’,3/8/2018,"45.72887,-119.84946",,
f10,N45-43’44.80’’,W119-50’48.23’’,3/8/2018,"45.72911,-119.84673",,
f10,N45-43’34.92’’,W119-50’50.62’’,3/8/2018,"45.72637,-119.84739",,
f12,N45-45’10.87’’,W119-46’15.27’’,3/6/2018,"45.75302,-119.77091",,
f12,N45-45’16.52’’,W119-46’15.64’’,3/6/2018,"45.75459,-119.77101",,
f12,N45-45’16.94’’,W119-46’4.65’’,3/6/2018,"45.75471,-119.76796",,
f12,N45-45’10.28’’,W119-46’4.94’’,3/6/2018,"45.75286,-119.76804",,
f11,N45-42’44.37’’,W119-59’42.98’’,3/8/2018,"45.7123,-119.99527",error,"45.712325,-119.99527"
f11,N45-42’49.61’’,W119-59’42.18’’,3/8/2018,"45.71378,-119.99505",,
f11,N45-42’48.60’’,W119-59’34.53’’,3/8/2018,"45.7135,-119.99293",,
f11,N45-42’44.66’’,W119-59’34.42’’,3/8/2018,"45.71241,-119.99289",,
f9,N45-41’20.47’’,W119-53’39.81’’,3/8/2018,"45.68902,-119.89439",,
f9,N45-41’20.39’’,W119-53’29.68’’,3/8/2018,"45.689,-119.89158",error,Corrected -110 to -119
f13,N47-0’22.08’’,W119-14’43.12’’,3/20/2018,"47.00613,-119.24531",,
f13,N47-0’32.41’’,W119-14’41.45’’,3/20/2018,"47.009,-119.24485",,
f13,N47-0’30.75’’,W119-14’26.81’’,3/20/2018,"47.00854,-119.24078",,
f13,N47-0’22.71’’,W119-14’30.75’’,3/20/2018,"47.00631,-119.24188",,
